                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    100,                  0.758,                0.82622,                 1.2514,                0.68383,                0.58234,                0.63818,                 0.4225,                 1.2607,                 1.2463,                 2.0167,             0.00042479,             0.00042479,             0.00042479
                    101,                0.77067,                0.84053,                 1.2619,                 0.6621,                0.61652,                0.62943,                0.42956,                 1.2404,                 1.2536,                 2.0161,             0.00042066,             0.00042066,             0.00042066
                    102,                0.75491,                0.81066,                 1.2393,                0.61789,                0.58179,                0.61622,                0.41246,                 1.2622,                 1.2176,                 2.0406,             0.00041654,             0.00041654,             0.00041654
                    103,                0.74924,                0.79376,                 1.2408,                 0.5709,                0.63946,                0.60426,                0.39408,                  1.243,                 1.2471,                 2.0219,             0.00041242,             0.00041242,             0.00041242
                    104,                0.74718,                0.81069,                 1.2415,                 0.6091,                 0.6546,                0.63477,                 0.4142,                 1.2497,                 1.2638,                 2.0316,             0.00040829,             0.00040829,             0.00040829
                    105,                 0.7381,                0.78386,                 1.2401,                0.59057,                0.61673,                0.61493,                0.40855,                 1.2696,                 1.2629,                 2.0386,             0.00040417,             0.00040417,             0.00040417
                    106,                0.73284,                 0.7671,                  1.218,                0.57151,                0.66548,                0.60823,                0.39296,                   1.29,                 1.2678,                 2.1062,             0.00040005,             0.00040005,             0.00040005
                    107,                0.73277,                0.76087,                 1.2273,                0.64152,                0.62356,                0.62923,                0.41126,                 1.2523,                  1.247,                 2.0373,             0.00039592,             0.00039592,             0.00039592
                    108,                0.73841,                 0.7843,                 1.2366,                0.66087,                0.62168,                0.62046,                0.40678,                 1.2372,                 1.2416,                  2.028,              0.0003918,              0.0003918,              0.0003918
                    109,                0.72205,                0.75758,                 1.2186,                0.64935,                0.58268,                0.61015,                0.40319,                 1.2581,                 1.3028,                 2.0546,             0.00038768,             0.00038768,             0.00038768
