                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    105,                0.69797,                0.58189,                 1.1534,                0.75811,                0.55306,                0.63003,                0.40661,                 1.3139,                 1.3113,                 1.9696,             0.00040417,             0.00040417,             0.00040417
                    106,                0.68327,                0.57723,                 1.1417,                0.69714,                0.60807,                0.64351,                0.41026,                 1.3064,                 1.2812,                 1.9837,             0.00040005,             0.00040005,             0.00040005
                    107,                0.68698,                0.56073,                 1.1507,                0.74484,                0.60998,                0.65899,                0.42904,                 1.3087,                 1.2716,                 1.9721,             0.00039592,             0.00039592,             0.00039592
                    108,                0.68273,                0.56452,                 1.1467,                0.73453,                0.66349,                0.68082,                0.44059,                 1.2841,                 1.2361,                 1.9208,              0.0003918,              0.0003918,              0.0003918
                    109,                0.68597,                0.56271,                 1.1332,                0.75119,                0.62323,                0.68401,                 0.4427,                 1.3105,                  1.177,                 1.9643,             0.00038768,             0.00038768,             0.00038768
                    110,                0.68739,                0.57442,                 1.1466,                0.81169,                0.58865,                0.67999,                0.44536,                 1.3165,                 1.2364,                 1.9359,             0.00038355,             0.00038355,             0.00038355
                    111,                0.68034,                0.55404,                 1.1504,                0.66931,                0.59367,                0.64763,                0.41674,                 1.3217,                 1.3444,                 1.9711,             0.00037943,             0.00037943,             0.00037943
                    112,                0.68447,                0.57015,                 1.1464,                0.77328,                0.56074,                0.65061,                0.42001,                 1.3123,                 1.2553,                 1.9568,             0.00037531,             0.00037531,             0.00037531
                    113,                0.66313,                0.54645,                 1.1355,                 0.7283,                0.60332,                0.65607,                 0.4178,                 1.3148,                 1.2243,                 1.9834,             0.00037118,             0.00037118,             0.00037118
                    114,                0.66144,                0.54033,                 1.1347,                0.67842,                0.64076,                0.66376,                0.42768,                 1.2856,                 1.2286,                 1.9206,             0.00036706,             0.00036706,             0.00036706
                    115,                0.67363,                0.54814,                 1.1309,                0.65984,                0.65729,                0.66242,                0.42659,                 1.3038,                 1.2252,                 1.9589,             0.00036294,             0.00036294,             0.00036294
                    116,                0.66524,                0.52916,                 1.1249,                0.74783,                 0.6264,                0.66075,                 0.4293,                 1.2903,                  1.241,                 1.9492,             0.00035881,             0.00035881,             0.00035881
                    117,                0.66343,                0.54351,                 1.1313,                0.69094,                0.60734,                0.65495,                0.42449,                 1.2913,                 1.2097,                 1.9534,             0.00035469,             0.00035469,             0.00035469
                    118,                0.65945,                0.54186,                  1.127,                0.71518,                0.60811,                 0.6653,                0.42804,                 1.2936,                 1.2703,                 1.9574,             0.00035057,             0.00035057,             0.00035057
                    119,                0.64725,                0.53277,                 1.1258,                0.76795,                 0.6181,                0.68218,                0.44312,                 1.3058,                 1.1933,                 1.9661,             0.00034644,             0.00034644,             0.00034644
                    120,                0.64714,                0.53567,                 1.1253,                0.77322,                0.58544,                0.66079,                0.44176,                 1.2857,                 1.2305,                 1.9408,             0.00034232,             0.00034232,             0.00034232
                    121,                0.64384,                0.51919,                 1.1168,                0.74738,                0.59172,                0.65344,                0.42823,                 1.3004,                 1.2026,                 1.9605,              0.0003382,              0.0003382,              0.0003382
                    122,                0.66023,                0.53647,                 1.1223,                0.76609,                  0.544,                0.64368,                0.41571,                 1.2952,                 1.2223,                 1.9821,             0.00033407,             0.00033407,             0.00033407
                    123,                0.64908,                 0.5311,                 1.1213,                0.72474,                 0.5491,                0.63501,                0.41557,                 1.3129,                 1.2143,                 1.9821,             0.00032995,             0.00032995,             0.00032995
                    124,                0.64644,                0.52686,                  1.124,                0.76997,                0.52809,                0.61614,                 0.3991,                 1.3094,                 1.3174,                 1.9783,             0.00032583,             0.00032583,             0.00032583
                    125,                0.64547,                0.52442,                  1.118,                0.69779,                0.54111,                0.62245,                0.40535,                 1.2978,                 1.3007,                 1.9643,              0.0003217,              0.0003217,              0.0003217
                    126,                0.64376,                0.52116,                 1.1161,                0.66374,                0.62095,                0.64328,                0.41606,                  1.293,                 1.2069,                 1.9373,             0.00031758,             0.00031758,             0.00031758
                    127,                0.64776,                0.52014,                 1.1205,                0.67077,                0.60156,                0.63477,                0.40778,                  1.292,                 1.1833,                 1.9651,             0.00031346,             0.00031346,             0.00031346
                    128,                0.64318,                0.51496,                 1.1166,                 0.7511,                0.63611,                0.66212,                0.42768,                 1.2962,                 1.1765,                 1.9708,             0.00030933,             0.00030933,             0.00030933
                    129,                0.63411,                0.51433,                  1.113,                0.78419,                0.56699,                0.64545,                0.41996,                  1.316,                 1.2249,                 1.9915,             0.00030521,             0.00030521,             0.00030521
                    130,                0.63903,                0.51133,                 1.1167,                0.66841,                0.65316,                0.66063,                0.42863,                   1.29,                 1.1878,                 1.9498,             0.00030109,             0.00030109,             0.00030109
                    131,                0.64049,                0.50918,                 1.1103,                0.73873,                0.60084,                0.65737,                0.42846,                 1.2914,                 1.2063,                 1.9799,             0.00029696,             0.00029696,             0.00029696
                    132,                0.63699,                0.50262,                 1.1123,                0.76005,                0.58521,                0.66795,                0.43433,                 1.3152,                  1.232,                 2.0137,             0.00029284,             0.00029284,             0.00029284
                    133,                 0.6227,                0.49585,                  1.106,                0.77633,                0.56374,                0.65048,                0.42477,                 1.2985,                 1.2325,                 1.9643,             0.00028872,             0.00028872,             0.00028872
                    134,                0.64375,                0.51584,                 1.1135,                0.61838,                0.64615,                 0.6469,                0.41947,                 1.3323,                 1.2659,                 2.0415,             0.00028459,             0.00028459,             0.00028459
                    135,                0.62416,                0.50004,                 1.1016,                 0.7317,                0.57279,                0.64083,                0.41444,                 1.2808,                 1.2418,                 1.9781,             0.00028047,             0.00028047,             0.00028047
                    136,                0.61491,                0.50007,                 1.1056,                0.71818,                0.60712,                0.67045,                0.43325,                 1.3076,                 1.2297,                 1.9912,             0.00027635,             0.00027635,             0.00027635
                    137,                 0.6161,                0.50075,                 1.0994,                0.77456,                0.59653,                0.66534,                0.43261,                 1.3259,                 1.2659,                 2.0417,             0.00027222,             0.00027222,             0.00027222
                    138,                0.60692,                0.47931,                  1.095,                 0.8172,                0.57824,                0.65676,                 0.4268,                 1.3031,                 1.2442,                 1.9824,              0.0002681,              0.0002681,              0.0002681
                    139,                0.60428,                0.48512,                 1.1002,                0.68844,                0.64512,                0.66004,                0.42755,                 1.2993,                 1.2636,                 1.9858,             0.00026398,             0.00026398,             0.00026398
                    140,                 0.6035,                0.48151,                 1.0957,                0.66125,                0.66958,                0.67131,                0.44382,                 1.2965,                 1.2251,                  2.005,             0.00025985,             0.00025985,             0.00025985
                    141,                0.60288,                0.48814,                  1.089,                0.74153,                0.58633,                0.63541,                0.41753,                 1.2875,                 1.2354,                 1.9892,             0.00025573,             0.00025573,             0.00025573
                    142,                0.60863,                0.48041,                 1.0954,                0.72983,                0.62171,                0.65895,                0.43132,                 1.3046,                 1.2149,                 2.0032,             0.00025161,             0.00025161,             0.00025161
                    143,                0.60643,                0.48231,                 1.0976,                 0.7027,                0.59941,                0.65132,                 0.4267,                 1.3256,                 1.2384,                 2.0274,             0.00024748,             0.00024748,             0.00024748
                    144,                0.60038,                 0.4766,                 1.0887,                0.69708,                0.60469,                0.65135,                0.42662,                 1.3127,                 1.2534,                  2.016,             0.00024336,             0.00024336,             0.00024336
                    145,                0.60445,                0.48266,                  1.093,                0.80013,                0.55443,                0.65159,                0.42312,                  1.315,                 1.2517,                 2.0052,             0.00023924,             0.00023924,             0.00023924
                    146,                0.59852,                0.47627,                 1.0934,                0.76956,                0.54586,                0.63077,                0.41282,                 1.3119,                 1.2763,                 2.0197,             0.00023511,             0.00023511,             0.00023511
                    147,                 0.5939,                0.47658,                 1.0904,                0.74482,                0.57957,                0.64357,                0.41857,                 1.3243,                 1.2765,                 2.0353,             0.00023099,             0.00023099,             0.00023099
                    148,                0.59216,                0.46755,                 1.0868,                0.79176,                0.54457,                 0.6568,                0.42051,                 1.3109,                 1.2449,                 2.0013,             0.00022687,             0.00022687,             0.00022687
                    149,                0.59698,                0.47178,                 1.0906,                0.81963,                0.58519,                0.66451,                0.42793,                 1.3134,                 1.2197,                 2.0009,             0.00022274,             0.00022274,             0.00022274
