                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                0.85535,                0.87828,                 1.1993,                0.50416,                 0.6314,                 0.6157,                0.40595,                 1.3458,                 1.4398,                 1.6767,             0.00050726,             0.00050726,             0.00050726
                     81,                0.81364,                0.85271,                 1.1875,                0.70824,                0.50376,                0.58859,                0.38782,                 1.3102,                 1.5509,                 1.6452,             0.00050313,             0.00050313,             0.00050313
                     82,                0.81114,                0.82772,                 1.1777,                 0.6703,                0.58042,                0.63954,                0.42049,                 1.2735,                 1.4862,                 1.6161,             0.00049901,             0.00049901,             0.00049901
                     83,                0.79972,                0.83453,                 1.1904,                0.54061,                0.62942,                0.56968,                0.37829,                 1.3236,                 1.6242,                 1.6583,             0.00049489,             0.00049489,             0.00049489
                     84,                0.78728,                0.81342,                 1.1808,                0.62523,                0.49202,                0.58588,                0.37633,                 1.3198,                 1.5399,                 1.6584,             0.00049076,             0.00049076,             0.00049076
                     85,                0.80305,                0.83194,                 1.1719,                0.59916,                0.57478,                0.61986,                0.40114,                 1.3106,                 1.4651,                 1.6679,             0.00048664,             0.00048664,             0.00048664
                     86,                0.80552,                0.81368,                 1.1934,                0.65993,                0.57164,                0.60786,                0.38283,                 1.4332,                 1.5748,                 1.8093,             0.00048252,             0.00048252,             0.00048252
                     87,                0.74196,                0.73345,                 1.1382,                0.66319,                0.53012,                0.58494,                0.38261,                 1.3928,                 1.5538,                 1.7443,             0.00047839,             0.00047839,             0.00047839
                     88,                0.79275,                0.80544,                 1.1717,                0.62517,                0.53374,                0.59718,                0.37063,                 1.4968,                 1.5683,                 1.9387,             0.00047427,             0.00047427,             0.00047427
                     89,                0.77442,                0.79591,                 1.1702,                0.59613,                0.59064,                0.58694,                0.37194,                 1.4366,                 1.5151,                 1.8601,             0.00047015,             0.00047015,             0.00047015
                     90,                0.82869,                0.79148,                 1.1957,                 0.5769,                0.60538,                0.63091,                0.40847,                 1.3067,                 1.4658,                  1.688,             0.00046602,             0.00046602,             0.00046602
                     91,                0.81052,                0.79793,                 1.1997,                0.55618,                0.61076,                0.61166,                0.39771,                 1.3072,                 1.3975,                 1.6554,              0.0004619,              0.0004619,              0.0004619
                     92,                0.79429,                0.78019,                 1.1824,                0.58321,                0.55996,                0.60819,                0.39644,                 1.3688,                  1.529,                 1.7056,             0.00045778,             0.00045778,             0.00045778
                     93,                0.76176,                0.73629,                 1.1626,                0.62723,                0.53088,                0.62622,                0.40904,                 1.4034,                 1.7212,                 1.7703,             0.00045365,             0.00045365,             0.00045365
                     94,                0.74874,                0.73794,                  1.146,                0.51812,                0.57072,                0.59985,                0.39415,                 1.5087,                 1.5069,                 1.9292,             0.00044953,             0.00044953,             0.00044953
                     95,                0.75086,                0.73536,                  1.147,                0.60917,                0.56673,                0.61551,                0.38699,                 1.4782,                  1.609,                 1.9338,             0.00044541,             0.00044541,             0.00044541
                     96,                 0.7364,                0.71894,                 1.1333,                0.51717,                 0.6983,                0.63022,                0.41292,                 1.3118,                 1.4665,                  1.649,             0.00044128,             0.00044128,             0.00044128
                     97,                0.78607,                0.76661,                 1.1697,                0.51665,                0.57616,                0.56232,                0.37356,                 1.3272,                 1.7627,                 1.6939,             0.00043716,             0.00043716,             0.00043716
                     98,                0.75263,                0.75502,                 1.1525,                0.55536,                0.58185,                0.59103,                0.38718,                 1.3581,                 1.5155,                 1.7135,             0.00043304,             0.00043304,             0.00043304
                     99,                0.76275,                0.74818,                 1.1592,                 0.5309,                0.62932,                0.61071,                0.40094,                 1.3365,                  1.464,                 1.7059,             0.00042891,             0.00042891,             0.00042891
                    100,                0.78076,                0.74401,                 1.1646,                0.62903,                0.51841,                0.59264,                0.38194,                 1.3634,                 1.5214,                  1.701,             0.00042479,             0.00042479,             0.00042479
                    101,                0.76557,                0.69857,                 1.1484,                0.47868,                0.68388,                0.59583,                0.39607,                 1.3986,                 1.5726,                 1.7912,             0.00042066,             0.00042066,             0.00042066
                    102,                0.76254,                0.71744,                 1.1459,                0.62959,                0.61374,                0.62278,                0.39796,                 1.3954,                 1.3989,                 1.8155,             0.00041654,             0.00041654,             0.00041654
                    103,                0.75737,                0.71207,                 1.1461,                0.65951,                0.56954,                0.62552,                0.38294,                 1.4638,                 1.4443,                 1.8946,             0.00041242,             0.00041242,             0.00041242
                    104,                0.74568,                0.72064,                 1.1507,                0.59507,                0.59182,                0.63323,                0.41136,                  1.406,                 1.5212,                 1.8373,             0.00040829,             0.00040829,             0.00040829
                    105,                0.77262,                0.72297,                 1.1526,                0.73455,                0.56787,                0.64277,                0.42032,                 1.4379,                 1.4366,                  1.876,             0.00040417,             0.00040417,             0.00040417
                    106,                0.74535,                0.70481,                 1.1509,                0.68869,                0.64015,                0.64993,                0.42051,                 1.3448,                 1.4992,                 1.7432,             0.00040005,             0.00040005,             0.00040005
                    107,                0.77365,                0.74118,                 1.1882,                0.61218,                0.60443,                 0.6371,                0.40447,                 1.3127,                 1.4587,                  1.728,             0.00039592,             0.00039592,             0.00039592
                    108,                0.70199,                0.66602,                 1.1355,                0.58945,                 0.5921,                0.58764,                0.38713,                 1.3601,                 1.8127,                 1.7584,              0.0003918,              0.0003918,              0.0003918
